Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
AAZQ11;Títulos e Val. Mob.;7,42;14,48%;16,00%;0,86;178357000;610697;0;0;0;0,00%;0,00%
ABCP11;Shoppings;84,04;8,30%;7,98%;0,78;395751000;68335;1;5517,42;567,85;10,29%;2,90%
AFHI11;Títulos e Val. Mob.;92,65;11,60%;12,27%;0,98;422078000;725888;0;0;0;0,00%;0,00%
AGRX11;Híbrido;7,78;21,74%;15,59%;0,76;139287000;239179;0;0;0;0,00%;0,00%
AIEC11;Lajes Corporativas;45,25;17,99%;15,75%;0,58;218331000;285262;2;8785,5;2375,61;27,04%;0,00%
AJFI11;Títulos e Val. Mob.;7,42;11,17%;10,90%;0,61;234665000;772855;12;530,13;63,88;12,05%;3,30%
ALMI11;Lajes Corporativas;549,96;6,80%;6,77%;0,26;61142900;27311;1;1332,81;219,54;16,47%;52,00%
ALZC11;Títulos e Val. Mob.;8,66;5,07%;15,64%;0,89;173635000;158518;0;0;0;0,00%;0,00%
ALZR11;Híbrido;9,99;8,38%;9,24%;0,96;1221440000;2471870;18;4525,51;371,25;8,20%;0,00%
ANCR11;Shoppings;148,47;6,62%;4,68%;1,35;3969350000;466;7;11994,4;1056,88;8,81%;4,34%
APTO11;Híbrido;8,49;12,44%;13,69%;0,87;39157800;24235;3;16424,3;1113,12;6,78%;0,00%
APXM11;Híbrido;90,1;4,38%;5,59%;0,73;254906000;435384;1;1413,69;156,83;11,09%;7,87%
AROA11;Outros;1,03;7434,39%;7,17%;1,08;166415;6282;6;1,27;105,21;8302,41%;0,00%
ARRI11;Títulos e Val. Mob.;7,39;9,64%;15,11%;0,87;153172000;214618;0;0;0;0,00%;0,00%
ARXD11;Títulos e Val. Mob.;7,35;13,89%;16,23%;0,79;66232100;169980;0;0;0;0,00%;0,00%
ASMT11;;38;12,39%;0,00%;0,32;41087800;26490;3;2716,25;766,71;28,23%;0,00%
ATSA11;Shoppings;49,99;5,08%;4,41%;0,66;87539500;648;1;2574,79;149,42;5,80%;16,77%
AURB11;Logística;72,8;1,38%;0,00%;1;65411800;2371;2;2034,91;133,19;6,55%;0,00%
AZPL11;;7,25;8,62%;9,38%;0,74;132020000;882757;1;569,39;29,12;5,11%;0,00%
BARI11;Títulos e Val. Mob.;77,1;13,31%;12,89%;0,84;357296000;470253;3;3353,21;0;0,00%;0,00%
BBFI11;Lajes Corporativas;350;94,03%;13,88%;0,5;45500000;38574;1;858,38;1202,3;140,07%;100,00%
BBFO11;Títulos e Val. Mob.;63,49;18,71%;12,39%;0,85;254208000;291926;0;0;0;0,00%;0,00%
BBGO11;Títulos e Val. Mob.;68,63;9,11%;13,07%;0,74;274874000;253958;0;0;0;0,00%;0,00%
BBIG11;Shoppings;7,03;13,06%;14,10%;0,74;696821000;895901;1;11708,2;328,09;2,80%;1,92%
BBRC11;Outros;102;12,76%;12,75%;0,97;162180000;58114;21;9423,23;1456,97;15,46%;12,53%
BCIA11;Títulos e Val. Mob.;86,1;12,72%;11,89%;0,87;320209000;401853;0;0;0;0,00%;0,00%
BCRI11;Títulos e Val. Mob.;66,86;13,26%;13,93%;0,78;418401000;393205;0;0;0;0,00%;0,00%
BGRB11;Lajes Corporativas;99;3,30%;1,94%;1,07;163412000;34360;1;41698,9;1051,14;2,52%;0,00%
BICE11;Títulos e Val. Mob.;900;7,61%;8,53%;0,86;120073000;18673;0;0;0;0,00%;0,00%
BIME11;Híbrido;7;13,83%;14,67%;0,83;40919200;78482;1;287,1;0;0,00%;0,00%
BLCA11;Lajes Corporativas;92,61;6,99%;6,50%;0,71;148176000;467651;1;34071,7;2879,92;8,45%;0,00%
BLMG11;Outros;36,35;13,15%;11,38%;0,51;155171000;465277;2;111,77;40,71;36,42%;58,43%
BLMO11;Lajes Corporativas;79,96;6,85%;6,90%;0,76;79545300;15951;1;9531,55;857,76;9,00%;0,00%
BLOG11;Títulos e Val. Mob.;9,9;2,72%;3,64%;0,88;304887000;311;6;2403,23;112,8;4,69%;10,19%
BLUR11;;68,74;11,13%;10,54%;0,91;6186600;1414;0;0;0;0,00%;0,00%
BMLC11;Híbrido;97,12;8,78%;8,76%;0,92;96965100;714653;1;16078,5;1453,45;9,04%;2,14%
BNFS11;Outros;70,32;21,38%;20,43%;0,9;49224000;147110;18;4512,81;1137,31;25,20%;0,44%
BPFF11;Outros;59,9;17,33%;12,16%;0,84;269090000;219843;0;0;0;0,00%;0,00%
BPML11;Híbrido;80;12,32%;15,82%;0,61;595340000;1072750;4;4458,65;720,5;16,16%;7,37%
BRCO11;Logística;109;7,55%;9,50%;0,92;1733660000;2965580;12;3417,26;306,12;8,96%;4,41%
BRCR11;Híbrido;43,06;11,39%;13,38%;0,5;1147040000;1350050;6;10342,1;1541,49;14,90%;1,17%
BRIM11;Residencial;559,95;-2,17%;22,88%;1,23;69510500;27832;1;136571;0;0,00%;0,00%
BRIP11;Híbrido;928;-3,68%;38,00%;1,29;199961000;38521;0;0;0;0,00%;0,00%
BROF11;Híbrido;51,9;11,25%;11,67%;0,47;602601000;639815;2;6469,13;1004,25;15,52%;5,24%
BTAL11;Outros;77,76;20,35%;12,88%;0,7;465218000;537187;9;1340,13;179,63;13,40%;0,00%
BTCI11;Títulos e Val. Mob.;9,2;11,99%;11,96%;0,91;915595000;1475440;0;0;0;0,00%;0,00%
BTHF11;Híbrido;8,31;7,40%;6,74%;0,82;1710590000;3559960;0;0;0;0,00%;0,00%
BTHI11;Hotel;38,5;10,59%;10,71%;0,56;354913000;32065;14;6203,25;756,2;12,19%;0,00%
BTLG11;Híbrido;100,16;8,68%;9,30%;0,96;4331830000;6618770;27;3349,18;215,59;6,44%;3,39%
BTRA11;Outros;56,8;5,77%;6,82%;0,51;191107000;242430;6;1,3;0,14;11,00%;24,97%
BTSI11;Híbrido;111,6;5,02%;8,10%;0,95;606590000;1235;6;1249,11;81,05;6,49%;0,00%
BTWR11;Lajes Corporativas;103,22;7,07%;6,89%;0,9;83532800;5;1;4169,38;444,13;10,65%;8,00%
BTYU11;Híbrido;10,12;13,42%;15,04%;0,98;303600000;1324;1;0;0;0,00%;0,00%
BVAR11;Outros;1400;3,46%;6,00%;1,76;875756000;34;46;8820,61;338,77;3,84%;22,21%
CACR11;;97,8;14,90%;16,21%;1,02;472992000;1085160;0;0;0;0,00%;0,00%
CARE11;Híbrido;1,2;-9,36%;0,00%;0,17;42923900;39168;1;0;0;0,00%;0,00%
CBOP11;Lajes Corporativas;27,19;2,59%;3,88%;0,4;38473800;50274;1;2352,84;313,7;13,33%;41,60%
CCME11;;8,93;10,38%;10,74%;0,86;605428000;148424;2;5025,23;462,45;9,20%;36,74%
CEOC11;Lajes Corporativas;42,9;12,43%;12,39%;0,59;77893400;29388;1;4939,6;735,92;14,90%;0,00%
CFII11;Híbrido;863,66;4,74%;18,81%;0,72;109097000;21;8;13319,3;614,38;4,61%;0,00%
CJCT11;Lajes Corporativas;56,04;2,52%;2,88%;0,77;175966000;92822;1;9130,33;575,8;6,31%;36,40%
